TIMISOARA ORPHAN ANALYSIS — bbox lng[21.1, 21.4] lat[45.7, 45.85]
Total features matching bbox: 135
Tolerance: 50m. ORPHAN = length<3km AND (no ref/name OR solo group OR disconnected within group)

idx | @id | name | ref | old_name | old_ref | km | pts | grpSz | conn | first | last | FLAG
28 | way/751935501 | - | - | - | - | 0.034 | 2 | 23 | N | 21.20874,45.75118 | 21.20918,45.75120 | ORFAN (no ref/name)
29 | way/451300926 | - | - | - | - | 0.034 | 3 | 23 | N | 21.20443,45.71332 | 21.20466,45.71306 | ORFAN (no ref/name)
30 | way/186964695 | 100 | - | - | - | 0.036 | 3 | 27 | Y | 21.22128,45.75914 | 21.22108,45.75885 | 
31 | way/99416419 | 122 | 124 | 922 | - | 0.037 | 2 | 16 | Y | 21.18873,45.73679 | 21.18905,45.73654 | 
32 | way/1138090189 | - | - | - | - | 0.038 | 3 | 23 | N | 21.19842,45.74973 | 21.19890,45.74976 | ORFAN (no ref/name)
33 | way/1138090190 | - | - | - | - | 0.038 | 3 | 23 | N | 21.19889,45.74980 | 21.19843,45.74969 | ORFAN (no ref/name)
34 | way/895090524 | 310 | 218 | - | - | 0.038 | 2 | 26 | Y | 21.19044,45.74859 | 21.19092,45.74866 | 
35 | way/99416283 | 126 | 132 | 926 | - | 0.038 | 2 | 7 | Y | 21.18594,45.73947 | 21.18616,45.73917 | 
36 | way/99416365 | 122 | 124 | 922 | - | 0.038 | 2 | 16 | Y | 21.18599,45.73949 | 21.18621,45.73919 | 
37 | way/1138090191 | - | - | - | - | 0.038 | 2 | 23 | N | 21.19849,45.74979 | 21.19803,45.74968 | ORFAN (no ref/name)
38 | way/1138090180 | - | - | - | - | 0.039 | 3 | 23 | N | 21.16529,45.79863 | 21.16509,45.79895 | ORFAN (no ref/name)
39 | way/1138090181 | - | - | - | - | 0.040 | 3 | 23 | N | 21.16515,45.79897 | 21.16522,45.79861 | ORFAN (no ref/name)
40 | way/1138090179 | - | - | - | - | 0.042 | 2 | 23 | N | 21.16542,45.79825 | 21.16562,45.79789 | ORFAN (no ref/name)
41 | way/922170015 | 100 | - | - | - | 0.042 | 4 | 27 | Y | 21.21528,45.75217 | 21.21581,45.75224 | 
42 | way/1138090188 | - | - | - | - | 0.044 | 2 | 23 | N | 21.19758,45.74961 | 21.19703,45.74950 | ORFAN (no ref/name)
43 | way/862477308 | - | - | - | - | 0.046 | 3 | 23 | N | 21.26654,45.70126 | 21.26596,45.70132 | ORFAN (no ref/name)
44 | way/1138090185 | - | - | - | - | 0.047 | 2 | 23 | N | 21.19328,45.74900 | 21.19386,45.74912 | ORFAN (no ref/name)
45 | way/1138090187 | 310 | 218 | - | - | 0.048 | 2 | 26 | Y | 21.19849,45.74979 | 21.19910,45.74987 | 
46 | way/99416266 | - | - | - | - | 0.050 | 2 | 23 | N | 21.19643,45.74949 | 21.19706,45.74954 | ORFAN (no ref/name)
47 | way/1146781389 | - | - | - | - | 0.052 | 2 | 23 | N | 21.25791,45.77213 | 21.25725,45.77205 | ORFAN (no ref/name)
48 | way/1138090183 | - | - | - | - | 0.053 | 3 | 23 | N | 21.16904,45.78853 | 21.16894,45.78901 | ORFAN (no ref/name)
49 | way/1138090184 | - | - | - | - | 0.054 | 3 | 23 | N | 21.16911,45.78854 | 21.16887,45.78899 | ORFAN (no ref/name)
50 | way/1146781388 | - | - | - | - | 0.054 | 2 | 23 | N | 21.25613,45.77204 | 21.25683,45.77203 | ORFAN (no ref/name)
51 | way/895029381 | 310 | 218 | - | - | 0.062 | 3 | 26 | Y | 21.16515,45.79897 | 21.16502,45.79951 | 
52 | way/1329630172 | - | - | - | - | 0.073 | 3 | 23 | N | 21.18625,45.73906 | 21.18673,45.73849 | ORFAN (no ref/name)
53 | way/1329630173 | - | - | - | - | 0.073 | 3 | 23 | N | 21.18629,45.73907 | 21.18668,45.73847 | ORFAN (no ref/name)
54 | way/894972679 | 100 | - | - | - | 0.076 | 4 | 27 | Y | 21.25578,45.77198 | 21.25481,45.77193 | 
55 | way/525635854 | 310 | 218 | - | - | 0.086 | 2 | 26 | Y | 21.19144,45.74872 | 21.19251,45.74893 | 
56 | way/24831664 | 122 | 124 | 922 | - | 0.111 | 5 | 16 | Y | 21.18621,45.73919 | 21.18687,45.73830 | 
57 | way/695040368 | 118 | 125 | 918 | - | 0.116 | 3 | 6 | Y | 21.26986,45.70061 | 21.27131,45.70037 | 
58 | way/1459613326 | 310 | 218 | - | - | 0.119 | 3 | 26 | Y | 21.16904,45.78853 | 21.16865,45.78957 | 
59 | way/1486864407 | 213 | - | - | - | 0.153 | 2 | 17 | Y | 21.29986,45.81249 | 21.29890,45.81129 | 
60 | way/895097261 | 218 | 133 | - | - | 0.188 | 4 | 8 | Y | 21.16589,45.79680 | 21.16529,45.79844 | 
61 | way/99416315 | 122 | 124 | 922 | - | 0.223 | 4 | 16 | Y | 21.18687,45.73830 | 21.18873,45.73679 | 
62 | way/1146781390 | 213 | - | - | - | 0.236 | 7 | 17 | Y | 21.25892,45.77217 | 21.25588,45.77203 | 
63 | way/1138090178 | 310 | 218 | - | - | 0.252 | 4 | 26 | Y | 21.16584,45.79732 | 21.16502,45.79951 | 
64 | way/922170012 | 310 | - | - | - | 0.252 | 9 | 1 | N | 21.20713,45.75105 | 21.21032,45.75150 | ORFAN (solo group)
65 | way/186964696 | 100 | - | - | - | 0.258 | 9 | 27 | Y | 21.22108,45.75885 | 21.22038,45.75659 | 
66 | way/1138090177 | 310 | 218 | - | - | 0.266 | 4 | 26 | Y | 21.14913,45.84291 | 21.14892,45.84530 | 
67 | way/1051911440 | 100 | - | - | - | 0.278 | 4 | 27 | Y | 21.27143,45.77298 | 21.26792,45.77250 | 
68 | way/99614744 | 310 | 218 | - | - | 0.344 | 5 | 26 | Y | 21.15009,45.83967 | 21.14916,45.84269 | 
69 | way/1486864406 | 213 | - | - | - | 0.347 | 2 | 17 | Y | 21.29890,45.81129 | 21.29670,45.80858 | 
70 | way/895090525 | 310 | 218 | - | - | 0.365 | 10 | 26 | Y | 21.19044,45.74859 | 21.18594,45.74930 | 
71 | way/895090523 | 119 | 100 | 919 | - | 0.369 | 11 | 27 | Y | 21.18590,45.74925 | 21.19044,45.74859 | 
72 | way/24831651 | 122 | 124 | 922 | - | 0.370 | 2 | 16 | Y | 21.18905,45.73654 | 21.19216,45.73402 | 
73 | way/895090515 | 122 | 124 | 922 | - | 0.406 | 10 | 16 | Y | 21.18924,45.74829 | 21.18590,45.74573 | 
74 | way/98197616 | - | - | - | - | 0.445 | 10 | 23 | N | 21.20608,45.75055 | 21.20040,45.74997 | ORFAN (no ref/name)
75 | way/1138090192 | 310 | 218 | - | - | 0.474 | 7 | 26 | Y | 21.19251,45.74893 | 21.19849,45.74979 | 
76 | way/915481003 | 122 | 124 | 922 | - | 0.489 | 4 | 16 | Y | 21.20101,45.75006 | 21.20718,45.75096 | 
77 | way/543174679 | 100 | - | - | - | 0.491 | 7 | 27 | Y | 21.23284,45.76291 | 21.22661,45.76215 | 
78 | way/895090526 | 310 | 218 | - | - | 0.526 | 14 | 26 | Y | 21.18596,45.74934 | 21.19251,45.74893 | 
79 | way/186964698 | 100 | - | - | - | 0.527 | 17 | 27 | Y | 21.22632,45.76210 | 21.22128,45.75914 | 
80 | way/1138090186 | 310 | 218 | - | - | 0.563 | 9 | 26 | Y | 21.19092,45.74866 | 21.19803,45.74968 | 
81 | way/1500862235 | 119 | - | 919 | - | 0.568 | 3 | 4 | Y | 21.17109,45.75769 | 21.16382,45.75708 | 
82 | way/895097259 | 218 | 133 | - | - | 0.577 | 11 | 8 | Y | 21.16522,45.79861 | 21.16009,45.80175 | 
83 | way/1073120094 | 310 | 218 | - | - | 0.579 | 5 | 26 | Y | 21.16502,45.79951 | 21.16312,45.80455 | 
84 | way/895029382 | - | - | - | - | 0.587 | 17 | 23 | N | 21.18513,45.74343 | 21.18528,45.74862 | ORFAN (no ref/name)
85 | way/1051911438 | 100 | - | - | - | 0.604 | 3 | 27 | Y | 21.27910,45.77422 | 21.27152,45.77300 | 
86 | way/186964693 | 100 | - | - | - | 0.625 | 18 | 27 | Y | 21.22033,45.75632 | 21.21607,45.75227 | 
87 | way/922170014 | 310 | 218 | - | - | 0.640 | 8 | 26 | Y | 21.19910,45.74987 | 21.20714,45.75115 | 
88 | way/99416253 | 100 | - | - | - | 0.643 | 13 | 27 | Y | 21.20718,45.75096 | 21.21528,45.75217 | 
89 | way/99416457 | 100 | - | - | - | 0.648 | 17 | 27 | Y | 21.20714,45.75115 | 21.21528,45.75217 | 
90 | way/99416359 | 122 | 124 | 922 | - | 0.670 | 15 | 16 | Y | 21.18590,45.74573 | 21.18570,45.73991 | 
91 | way/967256154 | 213 | - | - | - | 0.677 | 11 | 17 | Y | 21.27462,45.77595 | 21.26791,45.77255 | 
92 | way/696258533 | 213 | - | - | - | 0.680 | 7 | 17 | Y | 21.26768,45.77254 | 21.25892,45.77217 | 
93 | way/4976032 | 310 | 218 | - | - | 0.721 | 17 | 26 | Y | 21.18158,45.75481 | 21.18596,45.74934 | 
94 | way/905623502 | 310 | 218 | - | - | 0.723 | 9 | 26 | Y | 21.19803,45.74968 | 21.20713,45.75105 | 
95 | way/99416422 | 119 | 100 | 919 | - | 0.738 | 19 | 27 | Y | 21.18142,45.75486 | 21.18590,45.74925 | 
96 | way/67249430 | 218 | 133 | - | - | 0.832 | 11 | 8 | Y | 21.16865,45.78957 | 21.16589,45.79680 | 
97 | way/24249245 | 100 | - | - | - | 0.859 | 19 | 27 | Y | 21.24299,45.76620 | 21.23318,45.76295 | 
98 | way/930388066 | 118 | 125 | 918 | - | 0.864 | 10 | 6 | Y | 21.23140,45.70702 | 21.24222,45.70525 | 
99 | way/894972680 | 100 | - | - | - | 0.925 | 13 | 27 | Y | 21.26768,45.77248 | 21.25578,45.77198 | 
100 | way/92151403 | - | - | - | - | 0.933 | 19 | 23 | N | 21.17109,45.75769 | 21.17879,45.76196 | ORFAN (no ref/name)
101 | way/922170013 | 122 | 124 | 922 | - | 0.934 | 17 | 16 | Y | 21.18924,45.74829 | 21.20101,45.75006 | 
102 | way/895097256 | 310 | 218 | - | - | 0.954 | 6 | 26 | Y | 21.14892,45.84530 | 21.14912,45.85388 | 
103 | way/1486807036 | 213 | - | - | - | 0.971 | 9 | 17 | Y | 21.29670,45.80858 | 21.29197,45.80049 | 
104 | way/1365089868 | 122 | 124 | 922 | - | 0.982 | 12 | 16 | Y | 21.19939,45.72142 | 21.20443,45.71332 | 
105 | way/696258539 | 119 | - | 919 | - | 0.992 | 20 | 4 | Y | 21.18142,45.75486 | 21.17109,45.75769 | 
106 | way/695040370 | 122 | 124 | 922 | - | 0.993 | 6 | 16 | Y | 21.20123,45.70165 | 21.19683,45.69327 | 
107 | way/1485967854 | 213 | - | - | - | 1.004 | 7 | 17 | Y | 21.30621,45.82036 | 21.29986,45.81249 | 
108 | way/1138090182 | 310 | 218 | - | - | 1.080 | 11 | 26 | Y | 21.16865,45.78957 | 21.16515,45.79897 | 
109 | way/895090516 | 126 | 132 | 926 | - | 1.086 | 24 | 7 | Y | 21.18924,45.74829 | 21.18565,45.73989 | 
110 | way/399450067 | 100 | - | - | - | 1.122 | 11 | 27 | Y | 21.25481,45.77193 | 21.24299,45.76620 | 
111 | way/451300171 | 213 | - | - | - | 1.210 | 16 | 17 | Y | 21.24299,45.76620 | 21.25588,45.77203 | 
112 | way/1067858895 | 213 | - | - | - | 1.233 | 11 | 17 | Y | 21.31261,45.83040 | 21.30628,45.82045 | 
113 | way/188186234 | 126 | 132 | 926 | - | 1.353 | 6 | 7 | Y | 21.11016,45.69672 | 21.12402,45.70406 | 
114 | way/338366565 | 122 | 124 | 922 | - | 1.379 | 17 | 16 | Y | 21.20123,45.70165 | 21.20443,45.71332 | 
115 | way/695040367 | 218 | 133 | - | - | 1.400 | 3 | 8 | Y | 21.12526,45.81876 | 21.11016,45.82567 | 
116 | way/24831540 | 122 | 124 | 922 | - | 1.498 | 19 | 16 | Y | 21.19234,45.73387 | 21.19939,45.72142 | 
117 | way/930783770 | 310 | 218 | - | - | 1.574 | 12 | 26 | Y | 21.17649,45.76852 | 21.18158,45.75481 | 
118 | way/236410050 | 118 | 125 | 918 | - | 2.207 | 9 | 6 | Y | 21.24222,45.70525 | 21.26986,45.70061 | 
119 | way/5061688 | 310 | 218 | - | - | 2.299 | 15 | 26 | Y | 21.17644,45.76851 | 21.16904,45.78853 | 
120 | way/930783771 | 310 | 218 | - | - | 2.300 | 28 | 26 | Y | 21.18594,45.74930 | 21.17644,45.76851 | 
121 | way/40547053 | 126 | 132 | 926 | - | 2.611 | 24 | 7 | Y | 21.18616,45.73917 | 21.16565,45.72238 | 
122 | way/24335971 | 213 | - | - | - | 2.998 | 45 | 17 | Y | 21.28048,45.84191 | 21.31259,45.83046 | 
123 | way/917821309 | 213 | - | - | - | 3.043 | 17 | 17 | Y | 21.29197,45.80049 | 21.27462,45.77595 | 
124 | way/127720014 | 218 | 133 | - | - | 3.091 | 18 | 8 | Y | 21.11016,45.82567 | 21.07171,45.82484 | 
125 | way/373602866 | 100 | - | - | - | 3.190 | 8 | 27 | Y | 21.42071,45.79249 | 21.38002,45.78824 | 
126 | way/338366567 | 118 | 125 | 918 | - | 3.290 | 47 | 6 | Y | 21.19939,45.72142 | 21.23140,45.70702 | 
127 | way/99416269 | 310 | 218 | - | - | 3.308 | 23 | 26 | Y | 21.16584,45.79732 | 21.17649,45.76852 | 
128 | way/176193524 | 218 | 133 | - | - | 3.484 | 19 | 8 | Y | 21.16009,45.80175 | 21.12547,45.81866 | 
129 | way/895029380 | 310 | 218 | - | - | 3.924 | 15 | 26 | Y | 21.16305,45.80453 | 21.15034,45.83869 | 
130 | way/695040381 | 126 | 132 | 926 | - | 3.931 | 23 | 7 | Y | 21.16565,45.72238 | 21.12402,45.70406 | 
131 | way/895097257 | 310 | 218 | - | - | 4.020 | 15 | 26 | Y | 21.16312,45.80455 | 21.15014,45.83955 | 
132 | way/696258538 | 119 | - | 919 | - | 5.230 | 31 | 4 | Y | 21.16373,45.75707 | 21.09920,45.76828 | 
133 | way/217900032 | 118 | 125 | 918 | - | 6.902 | 41 | 6 | Y | 21.27140,45.70035 | 21.35462,45.68463 | 
134 | way/224984833 | 100 | - | - | - | 7.961 | 14 | 27 | Y | 21.37980,45.78822 | 21.27920,45.77424 | 
135 | way/675986570 | 213 | - | - | - | 9.062 | 52 | 17 | Y | 21.35215,45.90478 | 21.28054,45.84203 | 

SUMMARY: 24 orphan candidates out of 135
